device_id,device_serial_number,reading,time
74,331297864-5,10,14:12:11.000
38,193861246-9,132,13:26:25.000
45,674507386-2,37,14:53:42.000
100,859955197-3,22,13:17:19.000
2,755394019-4,135,14:19:59.000
58,703195206-9,177,13:28:44.000
70,097637677-6,46,14:00:37.000
43,721965839-7,109,14:42:35.000
61,809024551-X,192,13:54:16.000
39,458061660-X,156,13:52:44.000
72,276938628-X,196,13:30:39.000
89,215030489-9,140,13:29:42.000
69,302052866-6,11,13:46:40.000
43,332692257-4,14,13:40:42.000
99,274861395-3,127,14:46:53.000
66,164677426-4,54,13:09:16.000
93,667804266-2,96,13:54:58.000
75,525378167-6,50,14:35:31.000
75,230740746-4,47,13:04:35.000
3,808904968-0,198,14:05:58.000
14,933335695-9,97,14:19:07.000
83,710047725-5,15,13:28:21.000
51,806218005-0,37,13:41:56.000
65,366907125-3,30,14:37:32.000
11,025383458-9,148,14:55:26.000
16,221676011-0,146,14:27:45.000
4,461208162-5,11,14:58:44.000
69,986890718-7,181,13:26:51.000
8,270201360-0,121,14:09:33.000
27,307353270-6,109,14:55:50.000
75,731699515-7,7,13:44:00.000
69,318656478-6,52,13:33:05.000
71,669781572-8,167,13:45:16.000
71,582717410-6,15,14:23:27.000
6,218307415-9,187,13:01:52.000
48,763582986-6,36,14:33:14.000
50,233678725-3,41,14:46:31.000
30,636861409-9,78,13:59:59.000
70,982765219-2,131,14:56:13.000
40,671128194-2,193,14:13:40.000
17,027262351-2,44,13:49:29.000
19,142920118-5,62,14:40:34.000
94,720168560-0,194,13:58:23.000
95,224868895-4,38,14:09:42.000
29,093393869-1,25,13:11:44.000
52,672596541-5,145,13:15:30.000
1,398477045-6,22,13:12:15.000
58,843930154-5,146,14:09:53.000
79,894736124-0,89,14:49:36.000
47,883806780-5,115,14:58:54.000
13,770097831-X,172,13:35:00.000
42,269578671-9,59,14:03:44.000
7,519770873-5,19,14:13:46.000
27,197965213-9,116,14:21:53.000
8,229592371-9,176,13:19:18.000
12,992862410-0,31,13:45:48.000
95,326920947-9,12,13:21:31.000
91,080054764-0,83,14:42:46.000
43,430282553-7,42,13:23:43.000
40,326672790-8,155,14:41:12.000
57,073142679-7,147,14:41:21.000
62,988022357-8,18,13:52:02.000
7,350923710-2,19,13:32:46.000
65,897429367-6,16,14:11:23.000
75,231000225-9,141,14:19:01.000
16,056959580-0,40,14:04:22.000
28,655314168-1,140,14:35:41.000
40,802901776-6,175,13:29:00.000
3,698948173-0,184,13:13:38.000
7,594875759-5,77,13:35:55.000
15,985811996-8,155,13:12:23.000
28,942549853-9,182,14:08:08.000
3,876758187-0,38,13:24:48.000
5,300332150-1,58,14:01:07.000
73,231712456-2,87,14:26:13.000
95,708430440-1,110,13:46:12.000
89,897828052-8,96,13:24:52.000
79,234554115-6,112,13:42:12.000
59,803413930-0,86,14:34:40.000
77,593043192-2,40,14:10:07.000
77,504946721-7,197,14:23:46.000
46,760802154-3,122,14:02:40.000
53,438078924-1,27,14:47:08.000
14,493525550-1,53,13:51:19.000
27,717667958-4,80,13:16:33.000
33,797091807-7,101,14:01:45.000
66,913405455-3,101,14:25:02.000
64,382742169-1,25,13:22:25.000
70,509589421-1,67,14:12:27.000
35,426847209-6,39,13:18:58.000
85,270233837-2,136,14:41:22.000
41,981630354-X,114,13:30:56.000
67,167620502-0,101,13:57:54.000
87,562084572-9,147,13:46:08.000
71,000784519-7,35,14:34:11.000
98,372361640-2,148,14:11:11.000
90,012695854-8,188,14:08:38.000
30,446147885-8,75,13:32:56.000
80,309821385-X,73,14:32:51.000
60,296039136-5,113,14:30:39.000
33,377685927-X,149,13:04:05.000
90,587487792-4,113,14:57:30.000
27,673570524-6,190,14:16:57.000
76,411905122-6,42,14:37:51.000
91,299251754-2,4,13:26:03.000
91,204027936-9,185,13:20:20.000
49,429107734-3,57,14:45:30.000
36,621908715-1,40,13:13:45.000
83,079867496-2,173,14:50:34.000
98,082878287-3,112,14:48:23.000
10,848359264-9,156,13:39:10.000
18,262053209-4,98,14:02:07.000
80,715256832-4,20,13:15:49.000
90,575791299-5,187,14:55:03.000
16,139437847-5,144,14:42:16.000
6,538001193-4,151,14:43:48.000
75,680267594-3,105,14:32:51.000
58,237521882-5,198,14:17:27.000
47,641306560-5,74,13:53:11.000
83,881145022-5,160,13:21:49.000
46,751957039-8,152,14:31:01.000
92,977024954-8,170,14:54:08.000
7,396492819-4,121,13:53:42.000
